act_id,issue_date,voting_date
"3207-3","1970-01-01","2012-12-06"
"3207-4","2012-12-03","2012-12-06"
"3210-3","1970-01-01","2012-12-11"
"3225-4","2013-02-12","2013-02-25"
"3234-7","2013-04-05","2013-04-22"
"3239-1","2013-05-16","2013-05-16"
"3244-3","2012-12-14","2013-06-06"
"3244-4","2013-03-08","2013-06-06"
"3244-5","2013-05-31","2013-06-06"
"3248-1","2013-06-26","2013-06-26"
"3252-2","2013-07-02","2013-07-09"
"3252-3","2013-07-02","2013-07-09"
"3253-1","2013-07-05","2013-07-15"
"3253-2","2013-07-05","2013-07-15"
"3257","2013-09-25","2013-09-23"
"3260-5","2013-09-30","2013-10-07"
"3265-1","2013-10-18","2013-10-17"
"3265-2","2013-10-11","2013-10-17"
"3271-01","2013-11-05","2013-11-15"
"3271-07","2013-10-17","2013-11-15"
"3271-02","2013-11-05","2013-11-15"
"3274-1","2013-11-21","2013-11-19"
"3274-2","2013-11-15","2013-11-19"
"3290-02","2014-01-28","2014-01-28"
"3293-5","2014-02-18","2014-02-17"
"3295-03","2014-02-20","2014-02-20"
"3298-01","2014-03-05","2014-03-03"
"3298-02","2014-02-26","2014-03-03"
"3298-03","2014-02-21","2014-03-03"
"3307-04","2014-03-11","2014-03-24"
"3307-05","2014-03-26","2014-03-24"
"3328-01","2014-06-30","2014-07-14"
"3331-09","2014-07-11","2014-07-23"
"3339-01","2014-10-21","2014-10-16"
"3341-01","2014-10-10","2014-10-21"
"3341-02","2014-10-09","2014-10-21"
"3355-01","2014-12-10","2014-12-09"
"3358-01","2014-12-10","2014-12-12"
"3358-02","2014-12-10","2014-12-12"
"3358-03","2014-12-10","2014-12-12"
"3358-04","2014-12-10","2014-12-12"
"3358-05","2014-12-10","2014-12-12"
"3358-06","2014-12-10","2014-12-12"
"3358-07","2014-12-10","2014-12-12"
"3371-7","2015-02-18","2015-03-02"
"3371-8","2015-02-19","2015-03-02"
"3372-01","2015-02-18","2015-03-05"
"3372-02","2015-03-05","2015-03-05"
"3376-01","2015-02-27","2015-03-12"
"3383-02","2015-04-14","2015-04-21"
"3395-01","2015-06-04","2015-06-15"
"3399-01","2015-06-10","2015-06-19"
"3070-1","2011-02-22","2011-02-21"
"3076-1","2011-03-04","2011-03-15"
"3077","2011-03-11","2011-03-17"
"3092","2011-05-03","2011-05-23"
"3098-1","2011-05-26","2011-06-16"
"3013--1","2011-06-21","2011-06-21"
"3108-4","2011-07-19","2011-07-19"
"3108-5","2011-06-10","2011-07-19"
"3109-01","1970-01-01","2011-09-12"
"3109-02","2011-07-28","2011-09-12"
"3109-06","2011-09-12","2011-09-12"
"3110","2011-09-07","2011-09-20"
"3120-5","2011-10-20","2011-10-20"
"3121-4","2011-10-21","2011-10-27"
"3121-3","2011-10-24","2011-10-27"
"3127-1","2011-11-11","2011-11-24"
"3127-2","2011-11-22","2011-11-24"
"3129-1","2011-11-24","2011-11-30"
"3129-2","2011-11-25","2011-11-30"
"3129-3","2011-11-25","2011-11-30"
"3137-1","2011-12-01","2011-12-15"
"2993-1","2009-11-16","2010-02-15"
"2995-1","2009-10-30","2010-02-22"
"2998-1","2010-02-03","2010-02-25"
"2998-2","2010-02-03","2010-02-25"
"2999-1","2010-02-22","2010-03-01"
"3000-1","2010-02-24","2010-03-08"
"3001-1","2010-02-26","2010-03-11"
"3001-2","2010-03-11","2010-03-11"
"3002-1","2010-03-15","2010-03-15"
"3019-2","2010-05-21","2010-06-03"
"3028-1","2010-07-15","2010-07-26"
"3032-1","2010-04-12","2010-09-13"
"3032-2","2010-06-17","2010-09-13"
"3032-3","2010-06-18","2010-09-13"
"3032-4","2010-07-13","2010-09-13"
"3032-5","2010-08-24","2010-09-13"
"3032-6","2010-09-03","2010-09-13"
"3037-1","2010-10-15","2010-10-15"
"3047-1","2010-11-10","2010-11-22"
"3053-3","2010-11-25","2010-12-06"
"3057-4","2010-12-03","2010-12-10"
"3057-5","2010-12-03","2010-12-10"
"3057-10","2010-12-09","2010-12-10"
"3015-1","2010-05-17","2010-05-18"
"3028-2","2010-07-12","2010-07-26"
"3021-1","2010-06-03","2010-06-11"
"3140-1","2012-01-24","2012-01-23"
"3134-B","1970-01-01","2011-12-13"
"3148-2","2012-02-22","2012-02-21"
"3151-3","2012-03-09","2012-03-08"
"3151-4","2012-03-08","2012-03-08"
"3158-1","2012-03-16","2012-03-26"
"3164-2","2012-04-26","2012-05-10"
"3167-1","2012-05-04","2012-05-15"
"3173-2","2012-05-25","2012-06-11"
"3184-2","1970-01-01","2012-07-24"
"3187-1","2012-09-14","2012-09-24"
"3188-8","2012-10-04","2012-10-04"
"3188-910","2012-10-04","2012-10-04"
"3200","2012-11-15","2012-11-20"
"3399-02","2015-06-09","2015-06-19"
"3399-03","2015-06-12","2015-06-19"
"3401-01","2015-06-11","2015-06-23"
"3402-01","2015-06-25","2015-07-13"
"3409-01","2015-09-04","2015-09-18"
"3409-05","2015-09-04","2015-09-18"
"3410-01","2015-09-29","2015-10-01"
"3415-02","1970-01-01","2015-10-08"
"3419-01","2015-10-15","2015-10-26"
"3421-01","2015-10-28","2015-11-10"
"3421-02","2015-10-28","2015-11-10"
"3421-03","2015-10-28","2015-11-10"
"3436-01","2015-11-26","2015-12-10"
"3436-02","2015-11-26","2015-12-10"
"3436-03","2015-11-26","2015-12-10"
"3437-01","2015-12-07","2015-12-14"
"3455-02","2016-02-24","2016-03-10"
"3334-01","2014-09-17","2014-09-29"
"3334-02","2014-09-17","2014-09-29"
"3334-04","2014-09-17","2014-09-29"
"3337-01","2014-04-03","2014-10-13"
"3064-1","2011-01-21","2011-01-31"
"3066-2","2011-02-11","2011-02-14"
"3066-3","2011-02-04","2011-02-14"
"3070-2","2011-02-07","2011-02-21"
"3072-1","1970-01-01","2011-02-28"
"3073","2011-04-20","2011-03-07"
"3075-1","1970-01-01","2011-03-14"
"3079-3","1970-01-01","2011-03-21"
"3080","1970-01-01","2011-03-31"
"3081-1","2011-03-21","2011-04-11"
"3081-2","1970-01-01","2011-04-11"
"3084-1","1970-01-01","2011-04-14"
"3087-1","1970-01-01","2011-05-17"
"3093-1","1970-01-01","2011-05-27"
"3103--3","2011-03-25","2011-06-21"
"3103--4","2011-07-06","2011-06-21"
"3103--2","1970-01-01","2011-06-21"
"3108-3","2011-06-24","2011-07-19"
"3109-03","1970-01-01","2011-09-12"
"3113-1","2011-07-06","2011-09-29"
"3118-1","2011-06-29","2011-10-10"
"3118-4","2011-10-25","2011-10-10"
"3120-1","2011-11-16","2011-10-20"
"3120-2","2011-11-16","2011-10-20"
"3120-3","2011-11-16","2011-10-20"
"3120-4","2011-11-16","2011-10-20"
"3121-1","2011-11-16","2011-10-27"
"3121-2","1970-01-01","2011-10-27"
"3122-1","2011-07-12","2011-11-08"
"3204-3","2012-11-23","2012-12-03"
"3207-1","2012-11-30","2012-12-06"
"3207-2","2012-11-28","2012-12-06"
