act_id,issue_date,voting_date
"3363-01","2014-12-15","2014-12-17"
"3380-02","2013-11-12","2015-03-17"
"3409-02","2015-07-16","2015-09-18"
"3428-1","2015-11-13","2015-11-23"
"3449-01","2016-02-12","2016-02-24"
"3035-3","1970-01-01","2010-10-11"
"3139-2","2011-12-09","2011-12-19"
"3139-3","2011-12-09","2011-12-19"
"3180-4","2012-07-04","2012-06-26"
"3187-2","2012-08-24","2012-09-24"
"3188-2","2012-10-25","2012-10-04"
"3198-3","2012-11-21","2012-11-13"
"3198-5","2012-10-31","2012-11-13"
"3198-6","2012-10-31","2012-11-13"
